review,label
"được, y hình  giao hàng rât nhanh ,măc rất  mát",2
"giao hàng nhanh đầy đủ phụ kiện giữ đá khoảng 6 tiếng hoặc hơn , ly kín để nghiêng k bị đổ nhưng xài được 2 ngày thì ly bị tươm nước",0
"Gửi hàng chậm, không như đã hứa.",0
"Nhìn thì đẹp nhưng mặc hơi chật, bình thường vẫn mặc size 36 nhưng loại này 36 hơi nhỏ",0
"Hàng nhận được không giông như trong hình, rất chán.",0
Mua rồi mà không thấy hiệu quả gì.,0
"Nhận hàng bị bẩn, không sạch sẽ.",0
"Thái độ phục vụ khách hàng bình thường, không quá tốt cũng không quá tệ.",1
"Chất liệu không tốt, cảm giác rất rẻ tiền.",0
"Chất liệu sản phẩm tạm ổn, không có gì đặc biệt.",1
"Gửi hàng chậm, rất khó chịu.",0
"Đặt Samsung Galaxy M10,giao hàng ngoài hộp M10, trong hộp A10, yêu cầu đổi trả ko giải quyết, lừa gạt khách hàng",0
"Giao hàng không đúng hạn, rất khó chịu.",0
Màu giống hình ghê ta,2
"Gửi hàng không đúng địa chỉ, rất bực mình.",0
"Hàng không giống như hình, không đáng giá.",0
hàng tốt lắm,2
"Khong thể hoàn trả sản phẩm, thật bất tiện.",0
Không hài lòng với thời gian giao hàng.,0
"Sản phẩm cũng bình thường, không có gì đáng để ca ngợi.",1
"Sản phẩm không bền, sử dụng một lần đã hỏng.",0
"Giao hàng không đúng hạn, rất khó chịu.",0
"Hàng hóa khá ổn, nhưng chất lượng không cao lắm.",1
"Thời gian giao hàng cũng bình thường, không có gì đặc biệt.",1
"Không giống mẫu trên mạng, rất thất vọng.",0
"Giao hàng hơi lâu, nhưng hàng đến nơi vẫn ổn.",1
"Hàng giao bị hỏng, không thể hoàn trả.",0
hàng rất tốt rất hài lòng,2
đẹp đúng  giống như hình.,2
"Chất lượng sản phẩm rất kém, không hài lòng.",0
"Không có hỗ trợ khi gặp vấn đề, thật sự rất tệ.",0
"Thái độ phục vụ khách hàng chấp nhận được, không có gì đặc biệt.",1
"Shop phục vụ tốt, giao hàng đúng mẫu đã chọn. Hàng tốt",2
"Không có gì nổi bật, rất nhàm chán.",0
ko cho trả hàng,0
can lazada xem lại  ko dong  hang rất tệ,0
"Hàng nhận được không tốt cũng không tệ, chỉ bình thường.",1
"Sản phẩm không thể sử dụng được, thật tệ.",0
"Chất lượng sản phẩm rất kém, không hài lòng.",0
đặt 3 lần 1 màu về 3 màu shop quá tệ,0
"Chất lượng sản phẩm trung bình, không có gì nổi bật.",1
Bậy quá không hữu dụng.,0
"Thời gian giao hàng cũng bình thường, không có gì đặc biệt.",1
"Kích thước không chính xác, quá nhỏ.",0
Màu sắc không đúng với hình ảnh.,0
"Sản phẩm không thể sư dụng được, thật tệ.",0
Không hài lòng với dịch vụ khách hàng.,0
"Không đáng giá tiền, rất tệ.",0
"Sản phẩm rất dễ bị hư hỏng, không đáng mua.",0
Tệ hơn so với sản phẩm khác tôi đã mua.,0
"Gửi hàng bị hỏng, không có hỗ trợ.",0
"Không thoải mái khi sử dụng, rất khó chịu.",0
"Nhận hàng không đúng mẫu, rất chán.",0
"Chất lượng kém, không thể chấp nhận.",0
giong hinh.nhung shop giao cho minh ao hon nho.,2
"Hàng hóa tạm ổn, không có gì để khen.",1
"hàng tốt, mình sẽ mua thêm",2
"Chất lượng sản phẩm ổn, nhưng không có gì đặc sắc.",1
"SP tôt, giao hàng nhanh, giá hợp túi tiền, Shop dễ thương",2
"Hàng hóa khá ổn, nhưng không có gì ấn tượng.",1
balo bị đứt dây nha,0
"Chất lượng sản phẩm trung bình, không có gì nổi bật.",1
"Hàng hóa khá ổn, nhưng không có gì ấn tượng.",1
"Không hài lòng với dịch vụ khách hàng, rất tệ.",0
"Hàng nhận được như mong đợi, nhưng không xuất sắc.",1
"Khe cắm điện thoại tiện lợi, Bàn học gấp gọn đa năng, Cổng sạc USB tiện lợi, Thiết kế tiết kiệm không gian,",1
"Hàng bị bẩn, không sạch sẽ khi nhận.",0
"2 bộ thì 1 dc 1 mỏng,ổn so với giá",2
"Sản phẩm không có gì đặc biệt, chỉ là hàng bình thường.",1
"Hàng bị thiếu linh kiện, không thể sử dụng được.",0
"Sản phẩm bị lỗi ngay từ đầu, thật đáng tiếc.",0
"Chất lượng sản phẩm tạm ổn, không có gì đặc sắc.",1
Dễ bị hỏng khi sử dụng lần đầu.,0
"Thái độ phục vụ khách hàng bình thường, không quá tốt cũng không quá tệ.",1
"Không có hỗ trợ khi gặp vấn đề, thật thất vọng.",0
"Chất lượng sản phẩm chấp nhận được, nhưng cần cải thiện.",1
Đợi hàng rất lâu mà vẫn không thấy.,0
"Hàng giao đúng mẫu, nhưng chất lượng không đạt yêu cầu.",1
"Hàng không có gì đặc biệt, rất chán.",0
"Chất lượng sản phẩm chấp nhận được, nhưng cần cải thiện.",1
"Sản phẩm không có gì đặc biệt, rất chán.",0
"Hàng bị bẩn khi nhận, không sạch sẽ.",0
"Rất thất vọng với chất lượng sản phẩm, không giống như quảng cáo.",0
"Hàng bị lỗi, không hoạt động được.",0
"Sản phẩm bình thường, không đáng để phàn nàn.",1
đẹp chat luong cung ổn nên mua,2
Tôi mua sản phẩm samsung Galaxy M10. Máy bị lỗi màn hình và máy bị đứng không khởi động được. Tôi gửi trả lại bên lazada và bên lazada không chấpnhận đổi trả hàng vì lí do không có hộp máy. Tôi vừa nhận hàng và chụp lại tất cả phụ kiện của máy kèm theo và hộp máy. Vậy tôi hỏi lí do tại saomáy tôi bị lỗi mà không được trả lại hàng.,0
"Không như kỳ vọng, rất thất vọng.",0
mặc rất thoải mái,2
"Sản phẩm không như quảng cáo, rất thất vọng.",0
"Giao hàng nhanh, sản phẩm ok",2
"Rất khó để lắp ráp, không hướng dẫn rõ ràng.",0
giao hàng lủng lỗ trên quần.,0
"Không có hướng dẫn sử dụng rõ ràng, rất khó khăn.",0
"San phẩm không có gì nổi bật, rất chán.",0
"Hàng hóa khá ổn, nhưng không có gì ấn tượng.",1
"Hi shop , sao lại giao thiếu phụ kiện vậy,  vấn đề này mình liên lạc cs hay shop đây,  vui long fb sớm giúp mình.",0
Mua rồi mà không thấy hiệu quả gì.,0
"Gửi hàng bị vỡ, không thể sử dụng.",0
"Nhận hàng không đúng chất lượng, rất buồn.",0
sản phẩm rất tốt và rất đẹp nhưng hơi rộng,2
"Gửi hàng không đúng địa chỉ, rất khó chịu.",0
"Sản phẩm tốt. Nhựa cứng, lò xo chắc chắn. Bị cái tay cầm khi lắp máy hơi vênh, nút điều khiển không giống hình, cơ mà nút điều khiển rất tốt:giác hút chặt, sử dụng nhạy.",2
"Kích thước không đúng, quá nhỏ.",0
làm ăn gian dối lừa đảo mùa 6 gửi có 5 mình mua mỗi màu khác nhau mà gửi 4 màu tím một màu xanh. ko nên mua hàng ở shop nầy nữa nha mọi người.,2
"Không giống mô tả, thật sự tệ.",0
"Hàng giao bị hỏng, không thể sư dụng.",0
Hàng như cứt,0
"Chất liệu quá kém, không thể chấp nhận.",0
"Mặc dù cái túi màu và hình ảnh không liên quan lắm với cái ly nhưng vẫn đánh giá 5 sao nhé. Túi dày, ly đẹp, giữ nhiệt tốt. ống hút inox chắcchắn. đầy đủ phụ kiện nên khá là tiết kiệm. sẽ ủng hộ shop lần sau ạ",2
"vòng tay phong thuỷ ko đáng giá chút nào,hàng giao dây đã đứt thì đeo làm sao.",0
"18/4 Lazada giao nhưng 19/4 tôi mới khui hộp mở máy. Khởi động lên cài đặt nhưng đến bước “Đang kiểm tra cập nhật” thì cập nhật mãi không vào.Tôi đã vào bằng wifi khác, gắn sim, nhưng vẫn không cài đặt được.
Yêu cầu đổi máy mới khác nhe Lazada.Thanks.",0
"Hàng nhận được không tốt cũng không tệ, chỉ bình thường.",1
xấu quá Shop ơi .Mình không mấy hài lòng Cho lắm,0
"San pham tot. Hinh anh, am thanh chat luong.sem phim hinh anh chat luong cao nhu di xem rap. Dag mua.",2
Ngửi mùi khó chịu khi mở gói hàng.,0
Không thoải mái khi sử dụng.,0
"Hàng giao không đúng, rất thất vọng.",0
Sao NC một cặp mà giao co một cai ak,0
"Không đáng giá, rất thất vọng.",0
"Hàng giao chậm, rất khó chịu.",0
"Hàng giao không đúng màu, không hài lòng.",0
"Hàng không có giấy tờ, không thể tin cậy.",0
"Sản phẩm trung bình, không có gì nổi bật.",1
"Giao hàng chậm, rất bực mình.",0
Không hoạt động như quảng cáo.,0
Không hài lòng với dịch vụ giao hàng.,0
"Giao hàng đúng hẹn, nhưng sản phẩm không như mong đợi.",1
"Hàng không đáng giá, thật sự thất vọng.",0
bữa truoc minh co mua đt mi4 giờ nó hư cam ứng rồi ma mình dùng chưa được 1 thang ma sao ko bao hanh.. ma shop noi đối hang trong 1thang ma ..giobao hanh cung ko luon,0
"Hàng hóa khá ổn, nhưng không có gì ấn tượng.",1
"Chất liệu quá kém, không bền.",0
"Gửi hàng bị hỏng, không thể sử dụng được.",0
"Sản phẩm này cũng bình thường, không có gì nổi bật.",1
"Dễ bị trầy xước, không bền.",0
"Sản phẩm không tốt cũng không tệ, chỉ là hàng bình thường.",1
"Dịch vụ giao hàng bình thường, không có gì đặc biệt.",1
"Thái độ phục vụ khách hàng rất kém, không hỗ trợ gì.",0
Đẹp mà hơi rộng,2
"Không có giấy tờ, không đáng tin cậy.",0
"Nhận hàng bị thiếu linh kiện, rất bực mình.",0
"áo rất đẹp đúng màu mk đặt,mặt rất vừa ,shipper nhiệt tình đẹp trai nói chuyện dễ thương nữa,cảm ơn shop mk sẽ giới thiệu cho a e bận bề ủng hộshop",2
"Chất lượng sản phẩm rất kém, không hài lòng.",0
"Hàng quá đẹp giá lại rẻ, thiết kế thông minh có nhiều chỗ hứng gió bên ngoài làm người mặc thấy mát hơn, chất vải kaki đẹp. Duy chỉ có phần xỏngón hơi dị hợm cần chỉnh sửa lại chứ vầy sao xỏ ngón dc, chỗ xỏ ngón cái quá dư, 4 ngón còn lại quá thiếu, k xỏ dc thì khi chạy xe gió thổi lậtngược lên chứ k che nắng dc. Đánh giá sp hoàn thiện 99%",2
dep lam vua qua toi kg dung sai muon dat cai khac xxxl giao cho toi,2
Rất thất vọng với chất lượng dịch vụ.,0
"Kích thước không đúng, quá nhỏ so với mong đợi.",0
"Hàng không có gì nổi bật, rất nhàm chán.",0
"Thái độ phục vụ khách hàng bình thường, không quá tốt cũng không quá tệ.",1
"Sản phẩm không như mô tả, thật sự rất thất vọng.",0
"Hàng bị thiếu linh kiện, không thể sư dụng.",0
"Mua hàng mà không nhận được, rất bực bội.",0
"sản phẩm gây thất vọng quá, gắn vào không tăng chút nào mà còn nhỏ đi nữa.",0
Sp hk đc tốt đứng máy e cần tiki đổi sp kh,0
Hủy con mẹ rùi mà shops vẫn gửi. ukm thì nhận nhìn chung hàng đẹp vcl tuy nhiên đường may bị đùng vải lần sau gửi hàng phai cho QC kiểm nhá shop,0
hàng dởm y chang đồ chơi trẻ em,0
"Hàng nhận được không tốt cũng không tệ, chỉ bình thường.",1
Hàng phế phẩm,0
sao ko mo len duoc vay shop,0
"Hàng không có giay to, không đáng tin cậy.",0
Rất thất vọng với chất lượng dịch vụ.,0
"Không thể hoàn trả, thật thất vọng.",0
"vải nhẹ,thoải mái, đúng fom,chỉ có điều họa tiết in có vài chỗ bị nhèo,ổn so với tầm giá cho shop 4.5 star",2
"Không có hỗ trợ khi gặp vấn đề, rất tệ.",0
Hàng lừa đảo rồi,0
Rất hài lòng,2
"Sản phẩm bị lỗi, không hoạt động.",0
Kỳ vọng quá nhiều nhưng kết quả không như mong đợi.,0
Rất bực bội vì không thể hoàn trả sản phẩm.,0
Mua về mà không dùng được.,0
"Mua rồi mà không thấy tác dụng gì, thật sự không hài lòng.",0
"Hàng đẹp xài ngon so với giá tiền, nên mua cho em cháu trong nhà xài hay làm quà tặng cũng ok. Đối vs mình mua để check mail Zalo FB thì con nàychạy tương đối ổn. Còn chơi game hay gì thì mình ko phải game thủ nên ko quan tâm lắm, mình thấy cấu hình vậy xài cho công việc là okie.",2
"Không hài lòng với chất lượng sản phẩm, thật sự kém.",0
Sản phẩm không có gì đặc biệt.,0
"Hàng tối, giao nhanh",2
Hàng bị méo mó khi nhận.,0
"Giao hàng nhanh.Nhưng sản phẩm rất tệ,vừa đeo vào đã sứt dây ra.Khuyên mọi ng k nên mua các loại vòng dây kiểu này.Mặt vòng cũng k có phát sáng",0
"Sản phẩm không tốt cũng không tệ, chỉ là hàng bình thường.",1
"Màu sắc không đúng, thật sự không đẹp.",0
"Sản phẩm bình thường, không đáng để phàn nàn.",1
"Sản phẩm không như mong đợi, thật sự tệ.",0
"Sản phẩm không bền, sử dụng một lần đã hỏng.",0
"Nhận hàng không đúng màu, không hài lòng.",0
"Rất khó để lắp ráp, không có hướng dẫn rõ ràng.",0
"Hàng giao không đúng địa chỉ, thật sự rất thất vọng.",0
"Mua hàng mà nhận không đúng sản phẫm, rất bực bội.",0
mới mua về đã bị nức,0
rất tốt nha ae mua ủng hộ nhưng mua áo này ae có áo thun rồi thì thôi chưa có thì mua thêm áo thun trắng hoặc đen mặc trong nhá,2
Hơi bất tiện khi sử dụng.,0
"Mua hàng mà không nhận được, thật thất vọng.",0
Hàng chất lượng. Giao hàng nhanh.cho 5 sa0,2
Thái độ phục vụ khách hàng rất kém.,0
"Rất khó khăn để sử dụng sản phẩm này, không hiệu quả.",0
Không hài lòng với chất lượng sản phẩm.,0
"Hàng giao đúng mẫu, nhưng không có gì đặc biệt.",1
"San pham khong co giay to, khong đáng tin cậy.",0
mình mới mua xong sp tốt vượt mong đợi các bạn nên mua . loa nghe to rõ . thời gian pin dùng bao lâu thì chưa biết . ủng hộ shop uy tín cho shopfull sao,2
áo đẹp và tốt,2
"Chất lượng không tốt, rất thất vọng.",0
"San pham binh thuong, khong co gi dac biet.",1
"Hàng giao đúng mẫu, nhưng chất lượng không đạt yêu cầu.",1
Điểm 10 -Cho chất Lượng -Thời Gian Giang Hàng Nhanh -Cách Phục vụ tốt,2
giao hàng nhanh chất liệu không tốt lắm nhưng hàng đẹp pk 5 sao,2
Thái độ phục vụ khách hàng không tốt.,0
rất hài lòng chỉ điều là hình màu trắng nhưng giao màu xanh thôi... nhưng k sao,2
"Màu sắc không đúng, không đẹp như trong hình.",0
"Hàng không có nhãn mác, nói là của nhật mà mình chẳng thấy gì để xác định nguồn gốc. Cắm vào làm âm thanh nhỏ đi chẳng thấy gì",0
với giá náy thì ok.nhưng lớp lót bên trong  là vải dù nên rất nóng.Túi cạn không có khóa kéo.túi trong cũng cạn không để điên thoại được.,0
"Hàng hóa khá ổn, nhưng không có gì ấn tượng.",1
"Sản phẩm khá vừa ý, nhưng cũng không có gì nổi bật.",1
Không như mong đợi.,0
"Rất khó để lắp ráp, không có hướng dẫn rõ ràng.",0
"Giao hàng không đúng hẹn, rất bực bội.",0
"Hàng hóa tạm được, nhưng có thể cải thiện hơn.",1
"Rất dễ hỏng, không bền chút nào.",0
"nói chung là ok men, anh em nào cao khoảng 1m65-1m70 mua size L là vừa, áo chống nắng nên không sợ chật đâu, kể cả bụng to",2
Thái độ phục vụ khách hàng không tốt.,0
Sản phẩm không giống như mô tả.,0
Không đáng đồng tiền bát gạo.,0
"Khó sử dụng, không hợp lý.",0
Rất khó khăn để sử dụng sản phẩm này.,0
"shop nhiệt tình ghê luôn nhắn tin hỏi mình chọn màu nào rồi còn gọi lại hỏi 1 lân nửa, giao hàng đóng gói bao kỹ, hàng đẹp, đầy đủ 2 ống hút 1 cọvệ sinh,túi nắp. Nói chung vô cùng hài lòng",2
"San phẩm không hiệu quả như mong đợi, rất thất vọng.",0
"Sản phẩm bình thường, không đáng để phàn nàn.",1
Hàng nhái không tốt 1 sao,0
"Dịch vụ khách hàng bình thường, không có gì đặc sắc.",1
kính sài khá tốt,2
"Hàng kem chất lượng, không đáng để mua.",0
Đặt full đỏ nhưng ra mấy cái màu tài lao,0
"Thái độ phục vụ không tốt, rất khó chịu.",0
Mua 25/2 mở ra thấy bị lỗi sơn viền ,0
hàng đẹp giá ok... mọi người nên mua,2
trong hình màu trắng đen giao trắng xanh dương là sao,0
"Hàng nhận được không đến nỗi tệ, nhưng cũng không xuất sắc.",1
"Hàng giao khá đúng hẹn, nhưng không có gì nổi bật.",1
"Hàng giao khá đúng hẹn, nhưng không có gì nổi bật.",1
Hơi ôm. chất liệu vải ok. nếu mua trừ hao vài số cân nặng,2
"Đã nhận được hàng, máy đẹp, giao hàng nhanh. Cảm ơn tiki",2
"Chất lượng sản phẩm chấp nhận được, nhưng cần cải thiện.",1
đẹp,2
"Giao hàng đúng hẹn, nhưng sản phẩm không như mong đợi.",1
"Nhận hàng không đúng mẫu, rất chán.",0
Trên cả tuyệt vời shop ơi. Sang tuần sẽ mua thêm cái nữa.,2
"Dịch vụ khách hàng khá tốt, nhưng sản phẩm thì chỉ ổn.",1
"Không có hiệu quả gì, rất chán.",0
"Không như mong đợi, chất lượng kém.",0
"Chất liệu không tốt, rất kém chất lượng.",0
đặt 3 lần 1 màu về 3 màu quá tệ,0
"Hàng nhận được như mong đợi, nhưng không xuất sắc.",1
Giá cả không hợp lý với chất lượng sản phẩm.,0
"Rất khó để sử dụng, không hiệu quả.",0
"Không đáng đồng tiền bát gạo, thật sự thất vọng.",0
"hàng đẹp nhưng chát ko được,  chỉ nghe chứ nói bên kia ko nghe được!",0
"Sản phẩm bình thường, không đáng để phàn nàn.",1
"Quần siêu đẹp, giao hàng nhanh.",2
"nhận được hàng ok,nhưng k hài lòng cho mấy vì để kèm theo 2 cáp sạt mà k có cái nào hết,nhưng nếu về text thử nếu ok sẽ ủng hộ cái nữa,shop nhớxem kỹ trước khi gửi hàng nhé",0
"Đẹp  như hình, xài tốt",2
"Hàng giao khá đúng hẹn, nhưng không có gì nổi bật.",1
"Giao hàng đúng hẹn, nhưng sản phẩm không như mong đợi.",1
"Sản phẩm rất khó để sử dụng, không hiệu quả.",0
Không đáng đồng tiền bát gạo.,0
"Sản phẩm này rẻ ,thiết kế đẹp,tiện dụng,gọn gàng ,phù hợp cho sinh viên",1
"Sản phẩm rất dễ bị hư hỏng, không bền.",0
"Giao hàng không đúng hẹn, rất khó chịu.",0
Không hài lòng với chất lượng.,0
Rất thất vọng với sản phẩm này.,0
"Sản phẩm rất khó để sư dụng, không hiệu quả.",0
ĐT dùng tốt chưa có vấn_đề gì giao hàng nhanh,2
"Thái độ phục vụ không tốt, rất khó chịu.",0
"Chat lieu san pham không đạt yêu cầu, rất thất vọng.",0
"Lúc mua cái màu đen nó nóng quá vs mau hết pin nên đổi trả lại, shop đề nghị đổi lại điện thoại khác nên gửi lại shop hôm nay nhận được điệnthoại tuy hơi cũ nhưng cái này ổn hơn cái trước nhìu, shop làm ăn rất uy tín nói shop đổi đen mà shop lấy trắng nhưng hong sao hợp với ốp lưngđiện thoại là đx rồi!",0
không có gì để chê về sản_phẩm cả giá tốt hơn,2
Quá nhiều vấn đề với sản phẩm này.,0
đẹp giao hàng có Chất lượng,2
"Rất khó khăn để sư dụng sản phẩm này, không hiệu quả.",0
"Giao hàng không đúng hạn, rất khó chịu.",0
đẹp quá nha ><,2
"Chất lượng sản phẩm tạm ổn, không có gì đặc sắc.",1
"Hướng dẫn sử dụng không rõ ràng, khó hiểu.",0
Mọi thứ quay mồng mồng mà không làm được gì. G phải đăng nhập lần thứ 5. Tạo tài khoản Samsung khởi động lại 3 lần chưa được.,0
"Hàng giao không đúng hạn, rất khó chịu.",0
Nhận hàng như hình.Sản phẩm sử dụng tạm được túi hông quá nóng . giao hàng nhanh.,2
"Hàng hóa tạm ổn, không có gì nổi bật.",1
"Sản phẩm không bền, dễ hỏng.",0
Rất bực bội vì không thể hoàn trả sản phẩm.,0
Màu sắc không đẹp như hình.,0
"Thời gian giao hàng quá lâu, thât không hài lòng.",0
"sản phẩm đúng như hình, rất ok, chất liệu tốt, rất ôm ngực, mình rất hài lòng. lần sau sẽ ủng hộ shop.",2
"Rất dễ bị hư hỏng, không bền.",0
"Hàng không có gì đặc biệt, rất nhàm chán.",0
"Giao hàng lâu, rất khó chịu.",0
"xe chạy bốc,mạnh, còn bền thì chưa biết.. giao hàng hơi lâu.. nói chung sản phẩm chất lượng và giao đúng yêu cầu . có dịp sẻ ủng hộ thêm",2
"Cổng sạc USB thông minh, Thiết kế sang trọng và tiện dụng, Khe cắm điện thoại tiện lợi, Cổng sạc USB tiện lợi,",1
"Thời gian giao hàng vừa phải, không nhanh cũng không chậm.",1
"Sản phẩm không tốt cũng không tệ, chỉ là hàng bình thường.",1
đẹp lắm shop,2
Hàng ok nhưng thấy vỏ hộp có vết mực bi đánh,0
Giá quá cao so với chất lượng.,0
Hàng như lol,0
Hàng công_ty máy chạy tốt_Thanks,2
"Sản phẩm khá vừa ý, nhưng cũng không có gì nổi bật.",1
